fips_code,incident_start_date,incidenttype,is_major_disaster,state
30019,2023-06-01 00:00:00+00:00,Flood,1,MT
30027,2023-06-01 00:00:00+00:00,Flood,1,MT
30033,2023-06-01 00:00:00+00:00,Flood,1,MT
30037,2023-06-01 00:00:00+00:00,Flood,1,MT
30065,2023-06-01 00:00:00+00:00,Flood,1,MT
30069,2023-06-01 00:00:00+00:00,Flood,1,MT
30071,2023-06-01 00:00:00+00:00,Flood,1,MT
30095,2023-06-01 00:00:00+00:00,Flood,1,MT
30103,2023-06-01 00:00:00+00:00,Flood,1,MT
56025,2023-06-15 00:00:00+00:00,Flood,1,WY
51021,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51027,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51035,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51045,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51051,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51063,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51067,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51077,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51105,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51155,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
47047,2023-07-18 00:00:00+00:00,Severe Storm,1,TN
47079,2023-07-18 00:00:00+00:00,Severe Storm,1,TN
47157,2023-07-18 00:00:00+00:00,Severe Storm,1,TN
47167,2023-07-18 00:00:00+00:00,Severe Storm,1,TN
51167,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51169,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51173,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51185,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51191,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51195,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
51520,2025-02-10 00:00:00+00:00,Severe Storm,1,VA
48029,2025-03-04 00:00:00+00:00,Fire,0,TX
48409,2025-03-04 00:00:00+00:00,Fire,0,TX
19005,2023-04-24 00:00:00+00:00,Flood,1,IA
19043,2023-04-24 00:00:00+00:00,Flood,1,IA
19057,2023-04-24 00:00:00+00:00,Flood,1,IA
19061,2023-04-24 00:00:00+00:00,Flood,1,IA
